"creation_date_gmt";"count"
"";"0"
"2019-03-21";"30"
"2019-03-20";"84"
"2019-03-19";"119"
"2019-03-18";"127"
"2019-03-17";"23"
"2019-03-16";"21"
"2019-03-15";"61"
"2019-03-14";"66"
"2019-03-13";"97"
"2019-03-12";"131"
"2019-03-11";"75"
"2019-03-10";"8"
"2019-03-09";"15"
"2019-03-08";"78"
"2019-03-07";"69"
"2019-03-06";"116"
"2019-03-05";"178"
"2019-03-04";"142"
"2019-03-03";"21"
"2019-03-02";"31"
"2019-03-01";"73"
"2019-02-28";"63"
"2019-02-27";"85"
"2019-02-26";"146"
"2019-02-25";"116"
"2019-02-24";"18"
"2019-02-23";"18"
"2019-02-22";"41"
"2019-02-21";"94"
"2019-02-20";"136"
"2019-02-19";"86"
"2019-02-18";"68"
"2019-02-17";"27"
"2019-02-16";"18"
"2019-02-15";"84"
"2019-02-14";"82"
"2019-02-13";"137"
"2019-02-12";"94"
"2019-02-11";"138"
"2019-02-10";"30"
"2019-02-09";"18"
"2019-02-08";"72"
"2019-02-07";"90"
"2019-02-06";"87"
"2019-02-05";"125"
"2019-02-04";"93"
"2019-02-03";"18"
"2019-02-02";"19"
"2019-02-01";"89"
"2019-01-31";"81"
"2019-01-30";"94"
"2019-01-29";"84"
"2019-01-28";"130"
"2019-01-27";"32"
"2019-01-26";"20"
"2019-01-25";"116"
"2019-01-24";"121"
"2019-01-23";"91"
"2019-01-22";"131"
"2019-01-21";"40"
"2019-01-20";"17"
"2019-01-19";"20"
"2019-01-18";"109"
"2019-01-17";"91"
"2019-01-16";"102"
"2019-01-15";"143"
"2019-01-14";"122"
"2019-01-13";"14"
"2019-01-12";"7"
"2019-01-11";"94"
"2019-01-10";"52"
"2019-01-09";"122"
"2019-01-08";"126"
"2019-01-07";"129"
"2019-01-06";"14"
"2019-01-05";"6"
"2019-01-04";"158"
"2019-01-03";"188"
"2019-01-02";"68"
"2019-01-01";"26"
"2018-12-31";"10"
"2018-12-30";"9"
"2018-12-29";"5"
"2018-12-28";"8"
"2018-12-27";"6"
"2018-12-26";"15"
"2018-12-25";"2"
"2018-12-24";"3"
"2018-12-23";"4"
"2018-12-22";"2"
"2018-12-21";"36"
"2018-12-20";"59"
"2018-12-19";"68"
"2018-12-18";"88"
"2018-12-17";"61"
"2018-12-16";"35"
"2018-12-15";"4"
"2018-12-14";"81"
"2018-12-13";"101"
"2018-12-12";"122"
"2018-12-11";"149"
"2018-12-10";"128"
"2018-12-09";"4"
"2018-12-08";"6"
"2018-12-07";"85"
"2018-12-06";"38"
"2018-12-05";"21"
"2018-12-04";"103"
"2018-12-03";"86"
"2018-12-02";"6"
"2018-12-01";"20"
"2018-11-30";"98"
"2018-11-29";"65"
"2018-11-28";"87"
"2018-11-27";"109"
"2018-11-26";"173"
"2018-11-25";"40"
"2018-11-24";"11"
"2018-11-23";"9"
"2018-11-22";"2"
"2018-11-21";"81"
"2018-11-20";"132"
"2018-11-19";"63"
"2018-11-18";"10"
"2018-11-17";"15"
"2018-11-16";"58"
"2018-11-15";"89"
"2018-11-14";"118"
"2018-11-13";"121"
"2018-11-12";"102"
"2018-11-11";"9"
"2018-11-10";"5"
"2018-11-09";"62"
"2018-11-08";"80"
"2018-11-07";"81"
"2018-11-06";"65"
"2018-11-05";"204"
"2018-11-04";"18"
"2018-11-03";"9"
"2018-11-02";"93"
"2018-11-01";"63"
"2018-10-31";"109"
"2018-10-30";"98"
"2018-10-29";"128"
"2018-10-28";"10"
"2018-10-27";"8"
"2018-10-26";"117"
"2018-10-25";"79"
"2018-10-24";"138"
"2018-10-23";"167"
"2018-10-22";"71"
"2018-10-21";"24"
"2018-10-20";"10"
"2018-10-19";"59"
"2018-10-18";"96"
"2018-10-17";"114"
"2018-10-16";"110"
"2018-10-15";"77"
"2018-10-14";"45"
"2018-10-13";"3"
"2018-10-12";"44"
"2018-10-11";"72"
"2018-10-10";"130"
"2018-10-09";"100"
"2018-10-08";"105"
"2018-10-07";"28"
"2018-10-06";"6"
"2018-10-05";"72"
"2018-10-04";"79"
"2018-10-03";"68"
"2018-10-02";"127"
"2018-10-01";"94"
"2018-09-30";"7"
"2018-09-29";"16"
"2018-09-28";"83"
"2018-09-27";"86"
"2018-09-26";"132"
"2018-09-25";"113"
"2018-09-24";"167"
"2018-09-23";"25"
"2018-09-22";"13"
"2018-09-21";"117"
"2018-09-20";"130"
"2018-09-19";"116"
"2018-09-18";"241"
"2018-09-17";"184"
"2018-09-16";"28"
"2018-09-15";"17"
"2018-09-14";"139"
"2018-09-13";"149"
"2018-09-12";"155"
"2018-09-11";"108"
"2018-09-10";"89"
"2018-09-09";"32"
"2018-09-08";"16"
"2018-09-07";"88"
"2018-09-06";"85"
"2018-09-05";"133"
"2018-09-04";"103"
"2018-09-03";"16"
"2018-09-02";"20"
"2018-09-01";"12"
"2018-08-31";"104"
"2018-08-30";"199"
"2018-08-29";"129"
"2018-08-28";"135"
"2018-08-27";"128"
"2018-08-26";"47"
"2018-08-25";"21"
"2018-08-24";"110"
"2018-08-23";"112"
"2018-08-22";"64"
"2018-08-21";"79"
"2018-08-20";"112"
"2018-08-19";"32"
"2018-08-18";"10"
"2018-08-17";"63"
"2018-08-16";"111"
"2018-08-15";"118"
"2018-08-14";"82"
"2018-08-13";"168"
"2018-08-12";"27"
"2018-08-11";"24"
"2018-08-10";"56"
"2018-08-09";"121"
"2018-08-08";"138"
"2018-08-07";"150"
"2018-08-06";"252"
"2018-08-05";"12"
"2018-08-04";"15"
"2018-08-03";"61"
"2018-08-02";"202"
"2018-08-01";"111"
"2018-07-31";"83"
"2018-07-30";"90"
"2018-07-29";"13"
"2018-07-28";"4"
"2018-07-27";"51"
"2018-07-26";"75"
"2018-07-25";"101"
"2018-07-24";"83"
"2018-07-23";"149"
"2018-07-22";"9"
"2018-07-21";"9"
"2018-07-20";"69"
"2018-07-19";"95"
"2018-07-18";"104"
"2018-07-17";"160"
"2018-07-16";"47"
"2018-07-15";"35"
"2018-07-14";"6"
"2018-07-13";"36"
"2018-07-12";"83"
"2018-07-11";"149"
"2018-07-10";"67"
"2018-07-09";"111"
"2018-07-08";"6"
"2018-07-07";"11"
"2018-07-06";"54"
"2018-07-05";"105"
"2018-07-04";"10"
"2018-07-03";"68"
"2018-07-02";"116"
"2018-07-01";"14"
"2018-06-30";"13"
"2018-06-29";"39"
"2018-06-28";"56"
"2018-06-27";"62"
"2018-06-26";"51"
"2018-06-25";"139"
"2018-06-24";"8"
"2018-06-23";"4"
"2018-06-22";"43"
"2018-06-21";"55"
"2018-06-20";"61"
"2018-06-19";"68"
"2018-06-18";"106"
"2018-06-17";"3"
"2018-06-16";"17"
"2018-06-15";"29"
"2018-06-14";"74"
"2018-06-13";"63"
"2018-06-12";"60"
"2018-06-11";"132"
"2018-06-10";"7"
"2018-06-09";"8"
"2018-06-08";"34"
"2018-06-07";"42"
"2018-06-06";"59"
"2018-06-05";"36"
"2018-06-04";"138"
"2018-06-03";"6"
"2018-06-02";"12"
"2018-06-01";"74"
"2018-05-31";"110"
"2018-05-30";"129"
"2018-05-29";"107"
"2018-05-28";"10"
"2018-05-27";"5"
"2018-05-26";"3"
"2018-05-25";"78"
"2018-05-24";"28"
"2018-05-23";"61"
"2018-05-22";"133"
"2018-05-21";"74"
"2018-05-19";"6"
"2018-05-18";"53"
"2018-05-17";"114"
"2018-05-16";"73"
"2018-05-15";"62"
"2018-05-14";"107"
"2018-05-13";"9"
"2018-05-12";"16"
"2018-05-11";"24"
"2018-05-10";"30"
"2018-05-09";"37"
"2018-05-08";"66"
"2018-05-07";"105"
"2018-05-06";"8"
"2018-05-05";"9"
"2018-05-04";"136"
"2018-05-03";"58"
"2018-05-02";"135"
"2018-05-01";"91"
"2018-04-30";"67"
"2018-04-29";"32"
"2018-04-28";"7"
"2018-04-27";"58"
"2018-04-26";"71"
"2018-04-25";"30"
"2018-04-24";"71"
"2018-04-23";"122"
"2018-04-22";"14"
"2018-04-21";"12"
"2018-04-20";"50"
"2018-04-19";"85"
"2018-04-18";"75"
"2018-04-17";"127"
"2018-04-16";"187"
"2018-04-15";"48"
"2018-04-14";"21"
"2018-04-13";"74"
"2018-04-12";"75"
"2018-04-11";"85"
"2018-04-10";"122"
"2018-04-09";"130"
"2018-04-08";"19"
"2018-04-07";"13"
"2018-04-06";"148"
"2018-04-05";"132"
"2018-04-04";"100"
"2018-04-03";"151"
"2018-04-02";"148"
"2018-04-01";"14"
"2018-03-31";"15"
